timestamp,vibration_x,vibration_y,vibration_z,sound_level,temperature,current
0.0,-0.0365,-0.00806,-0.06389,43.488,36.241,2.142
0.001,0.03348,0.0894,-0.02222,44.149,36.771,2.0706
0.002,0.17546,0.11529,0.0561,42.262,35.572,2.0231
0.003,0.15017,0.10381,0.1209,42.56,36.339,2.2103
0.004,0.04123,0.0463,0.12876,47.505,37.055,2.0716
0.005,0.13971,0.18342,0.21154,42.894,37.079,2.1212
0.006,0.09823,0.14073,0.20651,41.498,36.112,2.1877
0.007,0.12159,0.10908,0.16137,45.773,37.215,2.3502
0.008,-0.00777,0.07941,0.05557,42.686,36.858,2.1195
0.009,0.0568,0.04246,0.02824,45.076,36.618,2.11
0.01,0.01318,0.02761,0.03529,43.789,36.382,2.0494
0.011,0.04497,-0.08925,-0.04569,45.605,36.733,2.1782
0.012,-0.06456,-0.05969,0.06562,42.824,36.847,2.1725
0.013,-0.08467,-0.14279,-0.14237,46.052,37.021,2.221
0.014,-0.21676,-0.15147,-0.20762,43.542,36.417,2.1924
0.015,-0.01385,-0.11923,-0.2429,44.169,35.963,2.1519
0.016,-0.24042,-0.13484,-0.14008,46.353,36.487,2.1298
0.017,-0.05156,-0.09063,-0.10282,42.998,36.797,2.1332
0.018,-0.10076,-0.07156,-0.08615,43.518,36.138,2.1349
0.019,-0.09258,-0.06608,-0.11072,42.624,37.104,2.257
0.02,-0.03675,0.0331,-0.06378,45.077,36.354,1.9954
0.021,0.00563,0.06062,0.06309,47.009,36.441,2.2682
0.022,0.10358,0.05659,0.27451,41.22,36.691,2.0822
0.023,0.1071,0.06154,0.14531,43.575,37.686,2.2471
0.024,0.21617,0.18467,0.20581,43.827,36.561,2.1019
0.025,0.03754,0.05235,0.21701,42.408,36.805,2.2157
0.026,0.13298,0.14162,0.12059,43.27,36.099,2.1949
0.027,0.06331,0.06341,0.14203,47.783,35.98,2.1692
0.028,0.12574,0.10916,0.02585,44.626,36.966,2.2246
0.029,-0.07535,0.02942,-0.04277,47.604,37.937,2.1358
0.03,-0.01925,0.0875,-0.01065,45.583,36.427,2.1889
0.031,-0.03149,-0.01426,-0.03605,43.008,36.686,2.2247
0.032,-0.16541,-0.08505,-0.09205,44.138,36.866,2.1491
0.033,-0.05809,-0.13075,-0.13727,43.732,35.768,2.2347
0.034,-0.12314,-0.08332,-0.2059,43.686,36.261,2.1572
0.035,-0.08362,-0.12208,-0.13174,43.282,36.774,2.2592
0.036,-0.07943,-0.19476,-0.05545,44.394,36.583,2.1619
0.037,-0.16813,-0.15662,-0.17791,44.075,35.496,2.2281
0.038,-0.12697,-0.15609,-0.26369,41.414,36.801,2.3104
0.039,-0.05465,0.04039,-0.03995,45.253,36.395,2.2871
0.04,0.04189,0.06705,0.00802,44.215,36.728,2.264
0.041,0.09092,0.03098,0.13449,44.443,36.213,2.0966
0.042,0.04255,0.12487,-0.08904,44.697,36.285,2.0324
0.043,0.07926,0.08741,0.20389,46.792,36.755,2.1384
0.044,0.08847,0.10408,0.32676,45.316,36.391,2.1547
0.045,0.10728,0.11292,0.09419,45.036,37.018,2.1931
0.046,0.11982,0.14443,0.15869,46.825,36.394,2.1455
0.047,0.10588,0.06835,0.01054,46.628,36.853,2.1705
0.048,0.19754,0.08877,0.17919,45.229,36.763,2.2596
0.049,0.0149,0.03527,-0.00353,45.285,35.906,2.1955
0.05,-0.01617,-0.09095,0.04002,45.188,36.744,2.0533
0.051,-0.01758,-0.10559,0.09261,42.355,36.581,2.1547
0.052,-0.13566,-0.03402,-0.19828,45.077,36.656,2.203
0.053,-0.13391,-0.10817,-0.09465,42.081,36.331,2.1391
