timestamp,vibration_x,vibration_y,vibration_z,sound_level,temperature,current
0.0,-0.04652,-0.60803,0.18655,60.776,46.412,3.0696
0.001,-0.50848,-0.19182,-0.18948,55.166,46.764,2.8068
0.002,0.31049,0.23715,-0.60575,57.272,45.85,2.6486
0.003,0.68919,0.32847,-0.38896,56.533,45.543,2.9368
0.004,0.61878,0.29809,0.83806,55.271,45.878,2.7989
0.005,0.21111,0.45547,1.28554,56.673,46.392,2.7538
0.006,-0.17672,0.48987,0.66222,54.703,45.356,2.8705
0.007,0.06714,0.06819,0.40204,59.731,45.748,2.8064
0.008,-0.14436,-0.28672,0.19203,58.938,46.161,2.6411
0.009,0.11565,-0.22704,-0.12974,54.874,45.865,3.0251
0.01,-0.04952,0.02487,-0.6685,55.151,45.891,2.8707
0.011,0.30207,0.07233,-0.82218,59.664,46.02,2.6905
0.012,0.31393,-0.08065,-0.03957,57.103,46.177,2.876
0.013,-0.2037,-0.08695,0.41182,60.84,46.076,2.829
0.014,-0.59056,-0.02344,0.02981,57.005,46.875,2.8722
0.015,-0.48375,-0.18183,-0.41364,57.387,45.366,2.8305
0.016,-0.37114,-0.33774,-0.22106,58.31,46.642,2.8489
0.017,-0.57947,-0.53833,-0.52142,56.016,45.956,2.9265
0.018,-0.27443,-0.22978,-0.67957,57.275,46.025,2.7072
0.019,0.16796,0.18313,-0.96816,58.816,45.699,2.9446
0.02,0.55736,0.22274,-0.41107,63.132,46.831,2.7194
0.021,0.51594,0.32968,0.56577,57.438,45.158,2.9077
0.022,0.07617,0.53652,0.79855,58.552,45.739,2.8665
0.023,-0.02481,0.28366,0.89837,55.955,45.49,2.7975
0.024,0.11491,0.22542,0.40143,57.595,46.017,2.7871
0.025,0.06544,-0.31085,0.26617,56.118,45.518,2.8279
0.026,0.17426,0.02058,0.1999,56.177,46.625,2.9522
0.027,0.29541,0.26787,-0.63667,56.328,46.422,2.9806
0.028,0.66355,0.18254,-0.45148,55.774,46.249,2.8003
0.029,0.60196,0.02342,0.56619,59.823,46.469,2.9789
0.03,-0.14403,0.40388,0.86646,59.269,45.579,2.7991
0.031,-0.33598,0.3143,0.51819,54.853,46.589,2.8888
0.032,-0.19914,-0.32194,-0.13922,60.558,45.532,2.7188
0.033,-0.37356,-0.7576,-0.35982,58.897,46.293,2.8833
0.034,-0.5991,-0.44519,-0.52011,57.325,45.82,2.8465
0.035,-0.27976,-0.29607,-0.87629,55.61,45.267,2.9048
0.036,-0.15496,0.0276,-0.79671,58.202,44.875,2.8239
0.037,0.39788,0.13281,-0.34357,58.776,45.608,2.9676
0.038,-0.17441,0.09358,0.73832,55.126,45.194,2.8051
0.039,-0.4795,0.33864,0.32671,54.689,45.719,2.7283
0.04,-0.12902,0.08606,-0.10376,60.497,46.628,2.9732
0.041,0.00616,-0.44671,0.30619,56.147,45.664,2.8323
0.042,-0.21146,-0.37454,0.25148,58.645,45.303,2.92
