timestamp,vibration_x,vibration_y,vibration_z,sound_level,temperature,current
0.0,0.01659,-0.04067,-0.02238,40.003,35.464,2.1203
0.001,0.07652,0.06878,-0.001,43.078,34.394,2.0832
0.002,0.0864,0.03702,0.03408,42.337,35.152,2.0888
0.003,0.03453,0.04258,0.13176,42.919,34.839,2.0199
0.004,0.15758,0.13778,0.24416,41.115,34.784,2.0915
0.005,0.14143,0.12376,0.12735,41.513,34.97,2.0891
0.006,0.08835,0.13669,0.16593,39.96,35.173,2.0959
0.007,0.12498,0.01616,0.11452,44.255,34.429,2.1649
0.008,0.08803,0.01048,0.07106,41.939,35.222,2.1163
0.009,0.0512,0.05411,0.09167,40.328,35.168,2.0936
0.01,0.00136,-0.03421,-0.09411,41.477,35.461,2.1445
0.011,-0.01084,0.02162,-0.08094,40.184,34.495,2.1294
0.012,-0.10588,0.00769,-0.07041,40.126,35.377,2.1451
0.013,-0.1049,-0.08621,-0.11657,41.539,34.8,2.1786
0.014,-0.13727,-0.09393,-0.23859,41.536,34.608,2.0208
0.015,-0.09126,-0.09898,-0.04857,41.17,35.198,2.0337
0.016,-0.11222,-0.10682,-0.00063,43.794,35.076,2.1317
0.017,-0.11112,-0.08242,-0.15901,41.044,34.467,2.054
0.018,-0.10807,-0.0681,-0.03361,42.652,34.298,2.0824
0.019,-0.04943,-0.01378,-0.01939,41.044,34.556,1.992
0.02,0.00039,-0.01334,0.00485,42.108,34.905,2.1238
0.021,0.02385,0.01005,-0.03401,39.647,35.371,2.1523
0.022,0.13265,0.04678,0.12929,41.19,35.197,2.1356
0.023,0.1454,0.05641,0.14144,40.39,34.903,2.1167
0.024,-0.01601,0.09188,0.08653,43.477,34.834,2.1045
0.025,0.02933,0.12157,0.20757,41.676,35.083,2.0699
0.026,0.10574,0.17735,0.10494,40.897,34.774,2.1297
0.027,0.07682,0.01575,0.18667,43.277,34.88,2.1007
0.028,0.08079,0.00366,0.09574,44.009,35.247,2.0865
0.029,0.04751,0.02817,0.02015,41.907,34.796,2.0812
0.03,0.10166,0.00126,0.12271,41.443,35.351,2.1996
