timestamp,vibration_x,vibration_y,vibration_z,sound_level,temperature,current
0.0,-0.06128,-0.01414,-0.02634,49.232,41.174,2.267
0.001,-0.08959,-0.01841,-0.04005,49.341,40.866,2.2871
0.002,0.05717,0.10357,-0.10026,48.533,41.429,2.2427
0.003,0.06452,0.10884,0.1788,49.936,41.057,2.1856
0.004,0.39649,0.16682,0.17025,49.704,41.134,2.2776
0.005,0.28492,0.06279,0.08903,46.949,40.657,2.1665
0.006,0.1433,0.32427,0.37149,50.642,41.448,2.3516
0.007,0.20197,0.32272,0.42798,50.112,41.114,2.3912
0.008,0.07675,0.11942,0.08348,47.812,41.114,2.2433
0.009,-0.0933,-0.04111,0.00228,49.478,41.253,2.4133
0.01,0.01079,0.11597,-0.14913,47.833,41.184,2.3107
0.011,-0.01299,-0.02792,-0.14465,49.493,40.901,2.4089
0.012,-0.01985,0.00034,-0.17838,48.58,40.87,2.4243
0.013,-0.15626,-0.03762,-0.35146,49.48,40.992,2.3249
0.014,-0.14178,-0.05613,-0.13657,47.939,40.278,2.2406
0.015,-0.18514,-0.16349,-0.11005,49.7,41.086,2.2092
0.016,-0.15759,-0.1412,-0.14415,50.866,40.979,2.3462
0.017,-0.28606,-0.1417,-0.25896,48.143,40.92,2.2732
0.018,-0.18728,-0.14233,-0.29877,47.826,40.688,2.2701
0.019,-0.09484,-0.14834,-0.02477,46.827,42.206,2.2865
0.02,0.17053,0.01881,-0.03995,47.941,40.484,2.2909
0.021,0.14186,0.00432,0.12185,49.569,41.05,2.3618
0.022,0.13495,0.28043,0.03603,47.706,40.575,2.3146
0.023,0.17401,0.21719,0.25144,46.895,41.288,2.3224
0.024,0.09007,0.21617,0.23767,45.636,41.006,2.4022
0.025,0.16149,0.10082,0.11783,48.998,40.73,2.2948
0.026,0.2117,0.14503,0.09553,47.753,41.228,2.319
0.027,0.00876,0.15332,0.13958,47.448,40.904,2.2439
0.028,0.07597,-0.07074,0.25926,49.768,40.699,2.3391
0.029,0.043,-0.01408,-0.02784,48.914,40.852,2.3127
0.03,0.08312,0.02922,0.02761,47.225,40.975,2.3005
0.031,-0.05081,0.04001,0.04094,48.012,40.499,2.2709
0.032,-0.02753,-0.02554,-0.00375,48.756,40.989,2.2515
0.033,-0.14291,-0.07926,-0.1524,47.902,40.823,2.3419
0.034,-0.26507,-0.26082,-0.32503,48.676,40.775,2.3405
0.035,-0.21914,-0.14081,-0.13047,49.87,40.733,2.2508
0.036,-0.11842,-0.20071,-0.2053,49.689,40.703,2.3388
0.037,0.02654,-0.20811,-0.14055,47.108,41.162,2.2956
0.038,-0.14074,-0.15895,-0.19966,47.113,40.695,2.2161
0.039,-0.08935,0.01708,0.04193,46.945,41.02,2.2826
0.04,0.0195,0.03077,0.15048,47.869,41.188,2.3079
0.041,0.15966,0.0811,0.11529,49.218,40.58,2.322
0.042,-0.04596,0.14274,0.05192,47.968,41.392,2.1874
0.043,-0.02268,0.13813,-0.00909,47.355,40.93,2.2027
0.044,0.15566,0.18153,0.25015,46.972,40.82,2.3256
0.045,0.35973,0.06969,0.1345,50.701,40.851,2.3635
0.046,0.22697,0.19556,0.09284,50.356,40.473,2.2534
0.047,0.24632,0.16818,0.10639,47.784,40.868,2.4812
0.048,-0.03019,0.15398,0.18191,48.088,41.349,2.3288
0.049,0.12853,0.10146,0.13143,47.933,41.137,2.3214
0.05,-0.00039,-0.08423,-0.16872,47.336,41.497,2.2855
0.051,-0.26534,-0.04715,-0.23234,48.418,41.147,2.2526
0.052,-0.11363,-0.10033,-0.1527,47.335,40.567,2.3875
0.053,0.03659,-0.18077,-0.07734,48.092,41.197,2.2518
0.054,-0.06914,-0.21334,-0.17987,49.186,40.202,2.2381
0.055,-0.08548,-0.08638,-0.16628,47.87,40.873,2.2967
0.056,-0.00466,-0.01195,0.00132,48.685,41.183,2.3008
0.057,-0.12527,-0.05454,-0.09875,49.132,40.778,2.4233
0.058,-0.17529,-0.04823,0.00959,48.086,41.044,2.352
0.059,-0.22018,-0.13277,-0.09787,48.644,40.972,2.332
0.06,-0.01293,-0.10634,-0.07799,49.736,40.979,2.2315
0.061,0.10645,-0.0603,0.00348,48.947,41.181,2.417
0.062,0.20256,-0.00441,0.11851,48.186,40.851,2.2764
0.063,0.18445,0.09946,0.1845,48.954,40.781,2.3305
0.064,0.21463,0.25746,0.11831,48.323,40.848,2.3384
0.065,0.10523,0.36394,0.3746,47.152,41.311,2.2679
0.066,0.03538,0.08925,0.32243,48.955,40.81,2.3391
0.067,-0.12634,0.02588,0.14791,47.764,40.972,2.2733
